类别,月份,排名,车型,销量,口碑评分,价格区间
MPV,2025-04,01,腾势D9,9045,4.53,33.98-60.06万
MPV,2025-04,02,赛那SIENNA,8248,4.52,29.98-41.08万
MPV,2025-04,03,岚图梦想家,6719,4.54,32.99-44.99万
MPV,2025-04,04,格瑞维亚,6651,4.45,29.98-41.68万
MPV,2025-04,05,别克GL8,5590,4.59,22.99-36.99万
MPV,2025-04,06,传祺M8,4346,4.47,17.98-34.28万
MPV,2025-04,07,夏,3863,4.41,24.98-30.98万
MPV,2025-04,08,别克GL8新能源,3842,4.03,24.99-41.99万
MPV,2025-04,09,传祺E8新能源,2655,4.48,21.68-23.88万
MPV,2025-04,10,极狐 考拉,1779,4.59,13.18-16.98万
MPV,2025-04,11,奥德赛,1740,4.42,23.58-43.98万
MPV,2025-04,12,极氪009,1527,4.39,43.90-89.90万
MPV,2025-04,13,小鹏X9,1502,4.54,35.98-41.98万
MPV,2025-04,14,菱智,1450,4.57,5.99-9.99万
MPV,2025-04,15,五菱佳辰,1405,4.00,6.88-11.58万
MPV,2025-04,16,库斯途,1347,4.52,16.98-22.08万
MPV,2025-04,17,传祺M6,1304,4.53,11.98-14.58万
MPV,2025-04,18,锐胜王牌M7,1275,4.59,6.18-15.38万
MPV,2025-04,19,奔驰V级,1023,4.60,49.68-66.98万
MPV,2025-04,20,威然,899,4.58,28.98-40.28万
MPV,2025-04,21,艾力绅,794,4.47,27.98-33.18万
MPV,2025-04,22,威霆,776,4.29,33.68-38.68万
MPV,2025-04,23,世纪,752,4.61,46.99-68.99万
MPV,2025-04,24,瑞风M3,640,4.48,6.58-12.79万
MPV,2025-04,25,大通G50,623,4.56,8.68-12.98万
MPV,2025-04,26,奔腾NAT,585,4.54,13.98-16.48万
MPV,2025-04,27,传祺E9,431,4.54,31.98-40.98万
MPV,2025-04,28,大通G10,327,4.63,10.80-18.98万
MPV,2025-04,29,荣威iMAX8新能源,322,4.47,19.99-35.98万
MPV,2025-04,30,红旗HQ9 PHEV,319,,35.88-53.88万
MPV,2025-04,31,魏牌 高山,304,4.56,30.98-35.38万
MPV,2025-04,32,大通G50插电混动,231,4.55,13.98-14.98万
MPV,2025-04,33,星海V9,227,4.55,19.99-27.99万
MPV,2025-04,34,风光380,205,4.47,5.28-6.08万
MPV,2025-04,35,荣威iMAX8,203,4.55,18.58-25.58万
MPV,2025-04,36,五菱征程,191,4.43,6.98-9.08万
MPV,2025-04,37,瑞风E3,165,4.61,13.99-20.88万
MPV,2025-04,38,菱智新能源,130,4.57,10.98-19.69万
MPV,2025-04,39,嘉华,125,4.54,28.99-34.09万
MPV,2025-04,40,大家9,118,4.49,25.99-40.99万
MPV,2025-04,41,大家7,114,4.58,18.99-25.98万
MPV,2025-04,42,极氪MIX,109,4.55,27.99-29.99万
MPV,2025-04,43,翼真L380,107,4.42,29.99-59.99万
MPV,2025-04,44,理想MEGA,103,4.71,52.98-55.98万
MPV,2025-04,45,途睿欧,102,4.55,21.96-26.00万
MPV,2025-04,46,红旗HQ9,95,4.65,34.88-57.88万
MPV,2025-04,47,领途E-M8,92,,14.18-17.28万
MPV,2025-04,48,嘉际,72,4.50,10.97-11.97万
MPV,2025-04,49,瑞风RF8 PHEV,70,4.53,20.99-36.99万
MPV,2025-04,50,睿蓝8,70,4.71,13.78-15.38万
