排名,车系,销量
1,腾势D9,7593
2,赛那SIENNA,4803
3,别克GL8,4786
4,岚图梦想家,3972
5,格瑞维亚,3597
6,夏,2733
7,传祺M8,2542
8,极氪009,2250
9,传祺M6,2149
10,五菱佳辰,1867
11,菱智,1428
12,别克GL8新能源,1380
13,奥德赛,1188
14,传祺E8新能源,1161
15,极狐 考拉,1135
16,小鹏X9,900
17,锐胜王牌M7,894
18,威然,885
19,瑞风M3,796
20,大通G50,795
21,库斯途,697
22,理想MEGA,681
23,艾力绅,538
24,奔驰V级,532
25,威霆,492
26,世纪,460
27,传祺E9,349
28,魏牌 高山,343
29,五菱征程,281
30,大通G10,255
31,大家9,240
32,瑞风E3,204
33,红旗HQ9 PHEV,195
34,奔腾NAT,190
35,睿蓝8,185
36,风光380,175
37,星海V9,130
38,极氪MIX,130
39,红旗HQ9,115
40,大家7,115
41,领途M8,90
42,荣威iMAX8新能源,85
43,嘉华,83
44,瑞风RF8 PHEV,75
45,菱智新能源,71
46,翼真L380,70
47,嘉际,61
48,比亚迪e6,50
49,大通G70,27
50,瑞风RF8,27
