车系,2025-05销量,2025-04销量,2025-03销量,2025-02销量,2025-01销量,2024-12销量
世纪,667,752,731,460,1085,1097
五菱佳辰,1504,1405,1829,1867,11,11
五菱凯捷,,,,,2333,2905
五菱征程,254,191,350,281,5424,10536
传祺E8新能源,2276,2655,2448,1161,1344,9244
传祺E9,272,431,424,349,473,1052
传祺M6,1259,1304,2896,2149,936,9413
传祺M8,4999,4346,3827,2542,4991,7103
别克GL8,4997,5590,6101,4786,5980,8877
别克GL8新能源,7391,3842,1664,1380,1783,3438
合创V09,9,36,2,,,40
嘉华,139,125,127,83,110,195
嘉际,40,72,60,61,292,255
夏,2611,3863,2961,2733,2794,
大家5,39,11,22,22,38,151
大家7,154,114,104,115,94,182
大家9,72,118,348,240,186,372
大通G10,268,327,328,255,360,481
大通G50,606,623,890,795,729,48
大通G50插电混动,217,231,129,,,
大通G70,18,44,29,27,30,87
大通G90,57,18,28,18,35,79
奔腾M9,6,5,,4,74,33
奔腾NAT,220,585,566,190,613,1844
奔驰V级,954,1023,980,532,748,1149
奥德赛,1949,1740,2048,1188,1779,3555
威然,751,899,1572,885,884,3857
威霆,932,776,919,492,627,1207
宋MAX新能源,,,,,1,2
小鹏X9,2767,1502,1021,900,801,1379
岚图梦想家,6540,6719,6508,3972,6071,10116
库斯途,1302,1347,1123,697,818,961
星海V9,498,227,318,130,238,835
极氪009,1290,1527,3157,2250,1240,3609
极氪MIX,346,109,162,130,100,277
极狐 考拉,3256,1779,3307,1135,2431,2390
枫叶80v,3,23,52,9,83,44
格瑞维亚,6137,6651,6120,3597,5195,10513
比亚迪D1,78,23,51,18,13,44
比亚迪e6,54,,465,50,33,312
沃尔沃EM90,23,28,33,24,83,108
海马7X,5,,,,,19
海马7X新能源,3,11,,,,
海马INJOY,,,,,,44
理想MEGA,994,103,916,681,807,1255
瑞风E3,237,165,151,204,279,302
瑞风M3,621,640,1014,796,841,479
瑞风RF8,19,30,29,27,22,43
瑞风RF8 PHEV,52,70,39,75,88,137
睿蓝8,12,70,102,185,113,198
红旗HQ9,256,95,221,115,623,141
红旗HQ9 PHEV,272,319,332,195,304,428
翼真L380,68,107,150,70,112,295
腾势D9,8686,9045,9326,7593,10026,10006
艾力绅,695,794,845,538,802,1467
荣威iMAX8,63,203,156,17,90,106
荣威iMAX8新能源,305,322,345,85,151,724
菱智,1768,1450,1675,1428,1294,2123
菱智新能源,102,130,111,71,27,
赛那SIENNA,8476,8248,8385,4803,6786,7461
途安,45,7,62,20,12,50
途睿欧,77,102,82,16,12,59
锐胜王牌M7,1535,1275,1304,894,1285,1457
领途E-M8,87,92,87,,,96
领途M8,,,,90,95,63
风光380,158,205,219,175,111,334
风光E380,,6,12,17,7,7
风行游艇,17,18,22,20,41,
魏牌 高山,2254,304,402,343,371,418
